CycID	BH.Q	ADJ.P	PER	LAG	AMP
BraR500.01G000100.v2.1	1.89060624094066e-05	1.83371753087876e-06	20	18	2.786000717875
BraR500.01G000200.v2.1	0.000169671246430028	3.03497239767716e-05	24	18	1.80489005897866
BraR500.01G000300.v2.1	0.000378416219232201	8.22398705903183e-05	24	18	18.3229044674964
BraR500.01G000400.v2.1	1	0.767199018890086	28	22	0.696500179468749
BraR500.01G000500.v2.1	1	1	28	20	0.0212132034355964
BraR500.01G000600.v2.1	0.00551423662415943	0.0020645125826386	20	6	0.954594154601839
BraR500.01G000700.v2.1	0.262050630393809	0.161066363563846	20	18	9.31613184213275
BraR500.01G000800.v2.1	0.00335323565416456	0.00114878036104372	28	14	1.22152696449976
BraR500.01G000900.v2.1	0.0020050356721242	0.000621859425254457	28	4	19.8237386105649
BraR500.01G001000.v2.1	0.000311014535650486	6.44879182962417e-05	24	14	5.25910668507495
BraR500.01G001100.v2.1	1	1	0	0	0
BraR500.01G001200.v2.1	1	1	28	18	0.205060966544099
BraR500.01G001300.v2.1	1.74206687091381e-05	1.59017902645501e-06	28	2	30.3914494553978
BraR500.01G001400.v2.1	0.208216635077728	0.125053077210473	20	6	22.6274169979695
BraR500.01G001500.v2.1	1	1	20	2	0.014142135623731
BraR500.01G001600.v2.1	0.0881240067504001	0.0483445259740327	28	0	5.77352686838816
BraR500.01G001700.v2.1	0.00647527360228839	0.00249532220650577	20	16	0.997020561473032
BraR500.01G001800.v2.1	5.88724349279601e-05	7.92482083060487e-06	28	18	1.74478598257781
BraR500.01G001900.v2.1	0.615194557221992	0.410466462739081	20	8	51.1273558136933
BraR500.01G002000.v2.1	1	1	0	0	0
BraR500.01G002100.v2.1	3.4907054473547e-05	3.91305426086072e-06	24	20	0.247487373415292
BraR500.01G002200.v2.1	0.00604187268308528	0.00227991739457219	28	0	0.388908729652601
BraR500.01G002300.v2.1	2.38156003020281e-05	2.4831859338185e-06	24	0	0.647002704785691
BraR500.01G002400.v2.1	0.00893039644366361	0.00361448551141939	24	20	6.85186470969765
BraR500.01G002500.v2.1	3.10802255191117e-08	2.33998817733136e-10	24	18	83.732049494205
BraR500.01G002600.v2.1	1	1	20	18	0.0848528137423857
BraR500.01G002700.v2.1	1	1	0	0	0
BraR500.01G002800.v2.1	1	1	0	0	0
BraR500.01G002900.v2.1	0.0343076391034218	0.0167850087475749	20	16	2.04530636458209
BraR500.01G003000.v2.1	0.248522381532125	0.151564684262751	24	14	4.14011020384723
BraR500.01G003100.v2.1	3.87973555992222e-07	8.93943768638756e-09	24	2	49.3100913860439
BraR500.01G003200.v2.1	1	1	20	16	0.205060966544099
BraR500.01G003300.v2.1	0.00283013318629478	0.00093918292620151	20	16	271.099436606063
BraR500.01G003400.v2.1	0.184948383903537	0.109858807355955	28	0	2.28041936932662
BraR500.01G003500.v2.1	1	1	20	16	0.0866205806953521
BraR500.01G003600.v2.1	1	1	0	0	0
BraR500.01G003700.v2.1	2.75988756085284e-05	2.91391579717642e-06	24	18	0.804333963599698
BraR500.01G003800.v2.1	0.000311014535650486	6.44879182962417e-05	20	14	4.1790010768125
BraR500.01G003900.v2.1	1	1	0	0	0
BraR500.01G004000.v2.1	0.000254706766749406	5.03673445175109e-05	28	0	4.7517575695736
BraR500.01G004100.v2.1	0.00397586933895151	0.00140086086256077	24	20	6.1235447250755
BraR500.01G004200.v2.1	0.00238126394605426	0.000765438497906782	24	2	0.0954594154601839
BraR500.01G004300.v2.1	0.0122294628294296	0.00517807957248203	20	18	1.94454364826301
BraR500.01G004400.v2.1	0.113609747461963	0.0640997670680518	28	14	0.592201929243734
BraR500.01G004500.v2.1	0.00262879375779749	0.000852310712054146	28	12	6.89782665047477
BraR500.01G004600.v2.1	1	1	0	0	0
BraR500.01G004700.v2.1	4.76551655914908e-05	5.97420306876979e-06	20	8	9.06510893481154
BraR500.01G004800.v2.1	0.000111995817740374	1.79788642510886e-05	28	24	0.388908729652601
BraR500.01G004900.v2.1	0.0944486793817335	0.0520361373203674	28	20	1.00585939623786
BraR500.01G005000.v2.1	0.00140629746611447	0.00040645873051084	24	18	1.08010560826245
BraR500.01G005100.v2.1	1	1	0	0	0
BraR500.01G005200.v2.1	1	1	0	0	0
BraR500.01G005300.v2.1	0.0223410124869211	0.0102947809996957	20	18	6.47709811566878
BraR500.01G005400.v2.1	1	1	0	0	0
BraR500.01G005500.v2.1	0.0774767090753459	0.0418477189389308	24	20	3.32693740548271
BraR500.01G005600.v2.1	1	1	20	16	0.00707106781186548
BraR500.01G005700.v2.1	1.5828457150295e-06	6.32642409534038e-08	24	18	9.21360135886072
BraR500.01G005800.v2.1	4.34475915531161e-06	2.63115830708722e-07	24	18	10.4351283233605
BraR500.01G005900.v2.1	1	1	0	0	0
BraR500.01G006000.v2.1	3.01627750944657e-05	3.34464566053434e-06	24	18	4.7623641712914
BraR500.01G006100.v2.1	0.00262879375779749	0.000852310712054146	24	20	0.318198051533946
BraR500.01G006200.v2.1	1	1	0	0	0
BraR500.01G006300.v2.1	0.000254706766749406	5.03673445175109e-05	28	22	37.4943370724167
