CycID	BH.Q	ADJ.P	PER	LAG	AMP
BraR500.01G007600.v2.1	0.567557128440135	0.202439845868417	20	8	0.0494974746830583
BraR500.01G007700.v2.1	0.0491869875725391	0.00687084344227201	20	4	24.5507474427969
BraR500.01G007800.v2.1	0.349586328083908	0.107911517054374	20	16	28.6714122101615
BraR500.01G007900.v2.1	1	1	24	10	2.05414519934692
BraR500.01G008000.v2.1	1	0.414379334950764	24	2	0.965200756319637
BraR500.01G008100.v2.1	1	1	20	6	1.1985459941112
BraR500.01G008200.v2.1	0.00571224922749802	0.000166975881261596	24	2	0.309359216769114
BraR500.01G008300.v2.1	0.00844718256492729	0.000440702154987869	20	6	47.7031912257975
BraR500.01G008400.v2.1	1	0.469513914656772	24	22	24.5100888028787
BraR500.01G008500.v2.1	0.446545501388833	0.14889738832596	28	24	3.34461507501237
BraR500.01G008600.v2.1	0.349586328083908	0.107911517054374	20	6	0.558614357137373
BraR500.01G008700.v2.1	1	0.690201798201798	24	10	0.418960767853029
BraR500.01G008800.v2.1	1	1	20	6	0.0353553390593274
BraR500.01G008900.v2.1	1	1	20	0	35.6028264327426
BraR500.01G009000.v2.1	1	0.977521906664764	24	22	17.1243584733852
BraR500.01G009100.v2.1	0.0893197588097282	0.0167284144427002	24	12	2.16905005128973
BraR500.01G009200.v2.1	1	1	24	10	1.49729860916251
BraR500.01G009300.v2.1	0.082928310407113	0.0137882117882118	20	6	16.5321565441415
BraR500.01G009400.v2.1	0.157495384477682	0.0372798629941487	20	18	1.19677822715823
BraR500.01G009500.v2.1	1	1	24	0	0.0282842712474619
BraR500.01G009600.v2.1	1	1	24	10	1.58568695681083
BraR500.01G009700.v2.1	1	1	20	6	0.0176776695296637
BraR500.01G009800.v2.1	0.2705898403163	0.0770115598687027	24	22	1.77483802077823
BraR500.01G009900.v2.1	1	1	20	10	0.00707106781186548
BraR500.01G010000.v2.1	0.446545501388833	0.14889738832596	28	24	4.84721698503378
BraR500.01G010100.v2.1	1	0.977521906664764	20	6	0.678822509939086
BraR500.01G010200.v2.1	0.00241089360834132	4.90937633794777e-05	24	10	10.5040712345262
BraR500.01G010300.v2.1	0.145289217041558	0.0312521763950335	20	6	0.342946788875476
BraR500.01G010400.v2.1	1	1	20	6	0.0318198051533946
BraR500.01G010500.v2.1	0.0180048305789096	0.00147110032824319	20	8	403.920606617192
BraR500.01G010600.v2.1	0.157495384477682	0.0372798629941487	28	24	8.04687516990291
BraR500.01G010700.v2.1	0.0491869875725391	0.00687084344227201	20	6	19.395939007947
BraR500.01G010800.v2.1	1	1	24	10	1.45310443533835
BraR500.01G010900.v2.1	0.00844718256492729	0.000440702154987869	20	18	96.9761595058291
BraR500.01G011000.v2.1	1	1	0	0	0
BraR500.01G011100.v2.1	1	1	0	0	0
BraR500.01G011200.v2.1	1	1	0	0	0
BraR500.01G011300.v2.1	1	1	0	0	0
BraR500.01G011400.v2.1	0.349586328083908	0.107911517054374	24	6	5.70811949112841
BraR500.01G011500.v2.1	1	1	0	0	0
BraR500.01G011600.v2.1	0.446545501388833	0.14889738832596	20	16	2.28041936932662
BraR500.01G011700.v2.1	0.0491869875725391	0.00687084344227201	24	10	41.0546197156909
BraR500.01G011800.v2.1	0.818982265309372	0.31535607249893	24	22	0.217435335214863
BraR500.01G011900.v2.1	0.24828136375651	0.0655313258170401	24	22	0.208596500450032
BraR500.01G012000.v2.1	1	1	24	0	0.0989949493661166
BraR500.01G012100.v2.1	0.00844718256492729	0.000440702154987869	24	12	3.43123565570772
BraR500.01G012200.v2.1	0.446545501388833	0.14889738832596	28	10	2.34405897963341
BraR500.01G012300.v2.1	1	1	20	10	0.129046987566545
BraR500.01G012400.v2.1	1	1	20	0	0.113137084989848
BraR500.01G012500.v2.1	1	1	0	0	0
BraR500.01G012600.v2.1	0.00241089360834132	4.90937633794777e-05	20	18	0.898025612106915
BraR500.01G012700.v2.1	0.207930436696025	0.0540510917653775	20	6	11.9448013011938
BraR500.01G012800.v2.1	1	0.469513914656772	20	16	22.2950768108118
BraR500.01G012900.v2.1	1	0.977521906664764	20	16	1.74655374953077
BraR500.01G013000.v2.1	1	1	24	10	7.61554003337912
BraR500.01G013100.v2.1	1	1	20	10	2.54204887836564
BraR500.01G013200.v2.1	0.157495384477682	0.0372798629941487	24	22	0.936916485072176
BraR500.01G013300.v2.1	1	1	20	10	1.62634559672906
BraR500.01G013400.v2.1	1	1	24	0	1.22683026535866
BraR500.01G013500.v2.1	1	1	24	0	0.853831438282756
BraR500.01G013600.v2.1	0.2705898403163	0.0770115598687027	24	10	21.656912940791
BraR500.01G013700.v2.1	0.0491869875725391	0.00687084344227201	24	6	9.61311669023111
BraR500.01G013800.v2.1	1	1	20	6	0.067175144212722
BraR500.01G013900.v2.1	0.0358085827030722	0.00423576423576424	24	2	1.05535687092092
BraR500.01G014000.v2.1	1	1	0	0	0
BraR500.01G014100.v2.1	0.0123323852529	0.000823176823176823	20	8	0.134350288425444
BraR500.01G014200.v2.1	1	1	0	0	0
BraR500.01G014300.v2.1	1	1	0	0	0
BraR500.01G014400.v2.1	1	1	0	0	0
BraR500.01G014500.v2.1	0.24828136375651	0.0655313258170401	24	4	1.01823376490863
BraR500.01G014600.v2.1	1	1	20	0	0.00707106781186548
BraR500.01G014700.v2.1	0.00844718256492729	0.000440702154987869	24	10	15.2717387066765
BraR500.01G014800.v2.1	1	1	24	18	0.0212132034355964
BraR500.01G014900.v2.1	0.567557128440135	0.202439845868417	20	14	5.58967910527966
BraR500.01G015000.v2.1	0.00241089360834132	4.90937633794777e-05	20	16	72.7842687544843
BraR500.01G015100.v2.1	0.0893197588097282	0.0167284144427002	20	8	0.657609306503489
BraR500.01G015200.v2.1	1	1	20	10	0.0494974746830583
BraR500.01G015300.v2.1	0.890596684037496	0.359244755244755	24	0	1.69882404180068
BraR500.01G015400.v2.1	0.157495384477682	0.0372798629941487	20	8	9.86237183059938
BraR500.01G015500.v2.1	0.446545501388833	0.14889738832596	24	0	8.65498700172334
BraR500.01G015600.v2.1	1	1	24	22	0.137885822331377
BraR500.01G015700.v2.1	1	1	0	0	0
BraR500.01G015800.v2.1	1	1	20	16	0.657609306503489
BraR500.01G015900.v2.1	0.157495384477682	0.0372798629941487	24	10	3.76180807591243
BraR500.01G016000.v2.1	0.0358085827030722	0.00423576423576424	20	6	4.85428805284565
BraR500.01G016100.v2.1	1	1	20	16	0.169705627484771
BraR500.01G016200.v2.1	1	1	24	0	0.0282842712474619
BraR500.01G016300.v2.1	0.000839247283328916	7.42115027829314e-06	24	22	15.1586016216866
BraR500.01G016400.v2.1	1	1	24	0	1.29046987566545
BraR500.01G016500.v2.1	1	0.977521906664764	20	8	6.03515637742718
BraR500.01G016600.v2.1	1	0.469513914656772	24	4	1.0093949301438
BraR500.01G016700.v2.1	0.000203559632131061	5.70857713714857e-07	20	18	39.9621397387577
BraR500.01G016800.v2.1	1	0.977521906664764	20	16	10.0197030894134
BraR500.01G016900.v2.1	1	1	20	10	4.79771951035073
BraR500.01G017000.v2.1	1	1	0	0	0
BraR500.01G017100.v2.1	1	1	0	0	0
BraR500.01G017200.v2.1	1	1	0	0	0
BraR500.01G017300.v2.1	0.207930436696025	0.0540510917653775	20	18	3.48073313039078
BraR500.01G017400.v2.1	0.0491869875725391	0.00687084344227201	20	6	3.22971022306956
BraR500.01G017500.v2.1	1	1	0	0	0
BraR500.01G017600.v2.1	0.0180048305789096	0.00147110032824319	24	18	0.3942120305115
BraR500.01G017700.v2.1	0.00844718256492729	0.000440702154987869	24	0	2.87615683247628
BraR500.01G017800.v2.1	1	1	0	0	0
BraR500.01G017900.v2.1	1	0.690201798201798	20	4	0.968736290225571
BraR500.01G018000.v2.1	1	1	20	6	1.50083414306845
BraR500.01G018100.v2.1	0.818982265309372	0.31535607249893	20	8	0.0494974746830583
BraR500.01G018200.v2.1	1	1	24	22	0.208596500450032
BraR500.01G018300.v2.1	1	0.977521906664764	24	22	12.8516657480655
BraR500.01G018400.v2.1	0.00573959618700087	0.000225488796917368	20	16	1.89151063967401
BraR500.01G018500.v2.1	0.0256589619340239	0.00253860425288997	24	12	28.0792102809178
BraR500.01G018600.v2.1	0.110042273205352	0.0209764521193093	24	0	0.747765421104774
BraR500.01G018700.v2.1	0.567557128440135	0.202439845868417	20	18	0.0282842712474619
BraR500.01G018800.v2.1	0.0491869875725391	0.00687084344227201	24	22	4.27092495836675
BraR500.01G018900.v2.1	1	1	24	0	0.330572420204711
BraR500.01G019000.v2.1	1	0.606307977736549	20	14	4.62447834896002
BraR500.01G019100.v2.1	0.0893197588097282	0.0167284144427002	24	10	5.15480843484993
BraR500.01G019200.v2.1	1	1	0	0	0
BraR500.01G019300.v2.1	1	0.469513914656772	24	0	0.081317279836453
BraR500.01G019400.v2.1	0.207930436696025	0.0540510917653775	20	8	21.0700143124062
BraR500.01G019500.v2.1	1	1	24	10	11.6849395591077
BraR500.01G019600.v2.1	0.119113640015777	0.0252244897959184	20	16	3.7635758428654
BraR500.01G019700.v2.1	0.567557128440135	0.202439845868417	20	16	13.6630707794771
BraR500.01G019800.v2.1	1	1	0	0	0
BraR500.01G019900.v2.1	1	1	24	10	0.707106781186548
BraR500.01G020000.v2.1	0.0664255955324732	0.0108480091337234	20	18	1.23213356621756
BraR500.01G020100.v2.1	1	1	20	0	0.0212132034355964
BraR500.01G020200.v2.1	1	0.774095618667047	24	6	3.06177236253775
BraR500.01G020300.v2.1	0.0491869875725391	0.00687084344227201	20	6	0.169705627484771
BraR500.01G020400.v2.1	0.00844718256492729	0.000440702154987869	24	2	2.24506403026729
BraR500.01G020500.v2.1	1	0.53791094619666	20	16	0.256326208180123
BraR500.01G020600.v2.1	1	1	24	18	1.44956890143242
BraR500.01G020700.v2.1	1	1	20	16	1.18617162544043
BraR500.01G020800.v2.1	1	1	20	16	0.0212132034355964
BraR500.01G020900.v2.1	1	1	24	0	0.427799602617861
BraR500.01G021000.v2.1	1	1	0	0	0
BraR500.01G021100.v2.1	1	1	0	0	0
BraR500.01G021200.v2.1	1	1	0	0	0
BraR500.01G021300.v2.1	1	0.414379334950764	20	6	0.169705627484771
BraR500.01G021400.v2.1	1	1	0	0	0
BraR500.01G021500.v2.1	0.00140967766636216	1.37005851291566e-05	24	22	1.02530483272049
BraR500.01G021600.v2.1	0.0256589619340239	0.00253860425288997	20	8	57.5726341242087
BraR500.01G021700.v2.1	1	1	20	16	1.36294832073707
BraR500.01G021800.v2.1	1	1	24	22	0.0777817459305202
BraR500.01G021900.v2.1	0.2705898403163	0.0770115598687027	24	0	3.57619254585097
BraR500.01G022000.v2.1	1	0.774095618667047	20	6	1.3505739520663
BraR500.01G022100.v2.1	1	1	20	16	0.0459619407771256
BraR500.01G022200.v2.1	1	1	0	0	0
BraR500.01G022300.v2.1	1	1	20	16	0.318198051533947
BraR500.01G022400.v2.1	1	1	0	0	0
BraR500.01G022500.v2.1	0.207930436696025	0.0540510917653775	24	18	2.89560226895891
BraR500.01G022600.v2.1	0.207930436696025	0.0540510917653775	20	6	20.0358706449208
BraR500.01G022700.v2.1	1	1	0	0	0
BraR500.01G022800.v2.1	0.119113640015777	0.0252244897959184	20	6	5.7664558005763
BraR500.01G022900.v2.1	1	1	20	6	0.314662517628014
BraR500.01G023000.v2.1	0.2705898403163	0.0770115598687027	28	24	0.392444263558534
BraR500.01G023100.v2.1	1	1	20	6	0.0353553390593274
BraR500.01G023200.v2.1	0.00140967766636216	1.998001998002e-05	24	12	5.3722437700648
BraR500.01G023300.v2.1	0.0180048305789096	0.00147110032824319	20	8	4.06939952572858
BraR500.01G023400.v2.1	1	1	24	0	0.31643028458098
BraR500.01G023500.v2.1	0.00140967766636216	1.998001998002e-05	20	10	86.3129892455359
BraR500.01G023600.v2.1	1	1	20	16	0.745997654151807
BraR500.01G023700.v2.1	0.0123323852529	0.000823176823176823	24	10	12.6713535188629
BraR500.01G023800.v2.1	0.714662504410882	0.271467389753104	20	6	0.67175144212722
BraR500.01G023900.v2.1	0.24828136375651	0.0655313258170401	20	6	0.403050865276332
BraR500.01G024000.v2.1	0.0123323852529	0.000823176823176823	20	18	2.10187490707701
BraR500.01G024100.v2.1	1	1	24	18	0.954594154601839
BraR500.01G024200.v2.1	0.0491869875725391	0.00687084344227201	20	4	61.0409928859287
BraR500.01G024300.v2.1	0.349586328083908	0.107911517054374	24	0	0.300520382004283
BraR500.01G024400.v2.1	1	1	24	12	0.14142135623731
BraR500.01G024500.v2.1	1	1	24	16	0.475529310347953
BraR500.01G024600.v2.1	1	1	0	0	0
BraR500.01G024700.v2.1	1	1	24	0	0.146724657096208
BraR500.01G024800.v2.1	1	1	0	0	0
BraR500.01G024900.v2.1	1	1	24	6	0.123743686707646
BraR500.01G025000.v2.1	0.157495384477682	0.0372798629941487	24	14	166.378690079289
